,Points,Score,Weigh,,,,,,,,,
Mazda RX4,3.9,2.62,16.46,,,,,,,,,
Mazda RX4 Wag,3.9,2.875,17.02,,,,,,,,,
Datsun 710,3.85,2.32,18.61,,,,,,,,,
Hornet 4 Drive,3.08,3.215,19.44,,,,,,,,,
Hornet Sportabout,3.15,3.44,17.02,,,,,,,,,
Valiant,2.76,3.46,20.22,,Points,,,Score,,,Weigh,
Duster 360,3.21,3.57,15.84,,,,,,,,,
Merc 240D,3.69,3.19,20,,Mean,3.5965625,,Mean,3.21725,,Mean,17.84875
Merc 230,3.92,3.15,22.9,,Standard Error,0.09451874,,Standard Error,0.172968473,,Standard Error,0.31588992
Merc 280,3.92,3.44,18.3,,Median,3.695,,Median,3.325,,Median,17.71
Merc 280C,3.92,3.44,18.9,,Mode,3.92,,Mode,3.44,,Mode,17.02
Merc 450SE,3.07,4.07,17.4,,Standard Deviation,0.534678736,,Standard Deviation,0.978457443,,Standard Deviation,1.786943236
Merc 450SL,3.07,3.73,17.6,,Sample Variance,0.285881351,,Sample Variance,0.957378968,,Sample Variance,3.193166129
Merc 450SLC,3.07,3.78,18,,Kurtosis,-0.450432451,,Kurtosis,0.41659467,,Kurtosis,0.864930653
Cadillac Fleetwood,2.93,5.25,17.98,,Skewness,0.292780213,,Skewness,0.465916107,,Skewness,0.406346629
Lincoln Continental,3,5.424,17.82,,Range,2.17,,Range,3.911,,Range,8.4
Chrysler Imperial,3.23,5.345,17.42,,Minimum,2.76,,Minimum,1.513,,Minimum,14.5
Fiat 128,4.08,2.2,19.47,,Maximum,4.93,,Maximum,5.424,,Maximum,22.9
Honda Civic,4.93,1.615,18.52,,Sum,115.09,,Sum,102.952,,Sum,571.16
Toyota Corolla,4.22,1.835,19.9,,Count,32,,Count,32,,Count,32
Toyota Corona,3.7,2.465,20.01,,Confidence Level(95.0%),0.192772241,,,,,,
Dodge Challenger,2.76,3.52,16.87,,,,,,,,,
AMC Javelin,3.15,3.435,17.3,,,,,,,,,
Camaro Z28,3.73,3.84,15.41,,,,,,,,,
Pontiac Firebird,3.08,3.845,17.05,,,,,,,,,
Fiat X1-9,4.08,1.935,18.9,,,,,,,,,
Porsche 914-2,4.43,2.14,16.7,,,,,,,,,
Lotus Europa,3.77,1.513,16.9,,,,,,,,,
Ford Pantera L,4.22,3.17,14.5,,,,,,,,,
Ferrari Dino,3.62,2.77,15.5,,,,,,,,,
Maserati Bora,3.54,3.57,14.6,,,,,,,,,
Volvo 142E,4.11,2.78,18.6,,,,,,,,,
